Date,Hour,Market Demand,Ontario Demand
2024-01-01,1,17091,14482
2024-01-01,2,16658,14180
2024-01-01,3,16233,13722
2024-01-01,4,15909,13637
2024-01-01,5,15998,13697
2024-01-01,6,16331,13787
2024-01-01,7,16493,14055
2024-01-01,8,17486,14481
2024-01-01,9,17687,14708
2024-01-01,10,17549,14890
2024-01-01,11,17884,15240
2024-01-01,12,18180,15564
2024-01-01,13,18113,15920
2024-01-01,14,18441,16072
2024-01-01,15,18793,16339
2024-01-01,16,18759,16538
2024-01-01,17,19466,17147
2024-01-01,18,20424,17805
2024-01-01,19,20477,17525
2024-01-01,20,19970,17261
2024-01-01,21,19202,16822
2024-01-01,22,18650,16303
2024-01-01,23,17643,15410
2024-01-01,24,16889,14694
2024-01-02,1,16372,14124
2024-01-02,2,16045,13796
2024-01-02,3,15915,13617
2024-01-02,4,15867,13500
2024-01-02,5,16263,13714
2024-01-02,6,17131,14196
2024-01-02,7,18250,15381
2024-01-02,8,19543,16411
2024-01-02,9,19848,16839
2024-01-02,10,20284,17215
2024-01-02,11,20635,17519
2024-01-02,12,20988,17606
2024-01-02,13,20963,17648
2024-01-02,14,20765,17644
2024-01-02,15,21011,17684
2024-01-02,16,21431,17964
2024-01-02,17,22185,18402
2024-01-02,18,23001,19035
2024-01-02,19,22917,18688
2024-01-02,20,22672,18384
2024-01-02,21,22399,18027
2024-01-02,22,21585,17361
2024-01-02,23,20169,16334
2024-01-02,24,19213,15456
2024-01-03,1,18284,14780
2024-01-03,2,18083,14444
2024-01-03,3,17575,14189
2024-01-03,4,17483,14184
2024-01-03,5,17635,14401
2024-01-03,6,18751,14909
2024-01-03,7,19826,15851
2024-01-03,8,20963,17068
2024-01-03,9,21094,17643
2024-01-03,10,21303,18022
2024-01-03,11,21217,18192
2024-01-03,12,21227,18354
2024-01-03,13,20872,18257
2024-01-03,14,20933,18207
2024-01-03,15,20979,18255
2024-01-03,16,21242,18476
2024-01-03,17,21913,18928
2024-01-03,18,22238,19452
2024-01-03,19,22259,19015
2024-01-03,20,22231,18843
2024-01-03,21,21150,18418
2024-01-03,22,20874,17725
2024-01-03,23,19939,16766
2024-01-03,24,18916,15698
2024-01-04,1,18343,14981
2024-01-04,2,18706,14838
2024-01-04,3,18787,14576
2024-01-04,4,18666,14579
2024-01-04,5,18949,14825
2024-01-04,6,19417,15275
2024-01-04,7,20538,16375
2024-01-04,8,22054,17597
2024-01-04,9,22203,18143
2024-01-04,10,21909,18286
2024-01-04,11,21999,18076
2024-01-04,12,21155,17753
2024-01-04,13,20980,17465
2024-01-04,14,20430,17312
2024-01-04,15,20868,17580
2024-01-04,16,21303,18241
2024-01-04,17,22242,19035
2024-01-04,18,23490,19981
2024-01-04,19,22648,19718
2024-01-04,20,22587,19498
2024-01-04,21,22367,19186
2024-01-04,22,21806,18603
2024-01-04,23,20780,17574
2024-01-04,24,20308,16736
2024-01-05,1,19895,16002
2024-01-05,2,19182,15638
2024-01-05,3,19115,15335
2024-01-05,4,18829,15223
2024-01-05,5,19071,15387
2024-01-05,6,19455,15768
2024-01-05,7,20673,16789
2024-01-05,8,21085,17717
2024-01-05,9,21676,18250
2024-01-05,10,21613,18473
2024-01-05,11,21664,18635
2024-01-05,12,22052,18775
2024-01-05,13,22011,18780
2024-01-05,14,22192,18830
2024-01-05,15,21852,18835
2024-01-05,16,21438,18847
2024-01-05,17,22117,19122
2024-01-05,18,22165,19536
2024-01-05,19,21578,19079
2024-01-05,20,21644,18802
2024-01-05,21,21530,18617
2024-01-05,22,21101,18012
2024-01-05,23,20451,17178
2024-01-05,24,19310,16220
2024-01-06,1,18623,15542
2024-01-06,2,17812,15073
2024-01-06,3,17492,14709
2024-01-06,4,17582,14625
2024-01-06,5,17552,14546
2024-01-06,6,18012,14898
2024-01-06,7,18675,15388
2024-01-06,8,19637,15970
2024-01-06,9,20383,16495
2024-01-06,10,20707,17058
2024-01-06,11,21102,17497
2024-01-06,12,21326,18055
2024-01-06,13,21490,18364
2024-01-06,14,21354,18031
2024-01-06,15,21192,17980
2024-01-06,16,21350,18121
2024-01-06,17,21423,18561
2024-01-06,18,21469,19074
2024-01-06,19,21111,18752
2024-01-06,20,20917,18547
2024-01-06,21,20570,18122
2024-01-06,22,20283,17701
2024-01-06,23,19937,16995
2024-01-06,24,19132,16190
2024-01-07,1,17940,15516
2024-01-07,2,17497,15098
2024-01-07,3,17203,14948
2024-01-07,4,17155,14862
2024-01-07,5,16973,14967
2024-01-07,6,17622,15118
2024-01-07,7,18100,15424
2024-01-07,8,19137,16013
2024-01-07,9,19718,16603
2024-01-07,10,20116,17152
2024-01-07,11,20614,17625
2024-01-07,12,20715,17921
2024-01-07,13,20554,18094
2024-01-07,14,20612,18021
2024-01-07,15,20745,17860
2024-01-07,16,20784,17942
2024-01-07,17,21327,18512
2024-01-07,18,21970,19192
2024-01-07,19,21771,18900
2024-01-07,20,21421,18454
2024-01-07,21,21047,18018
2024-01-07,22,20246,17312
2024-01-07,23,18926,16296
2024-01-07,24,18009,15521
2024-01-08,1,17214,15036
2024-01-08,2,16876,14460
2024-01-08,3,16820,14284
2024-01-08,4,16501,14257
2024-01-08,5,17028,14442
2024-01-08,6,17812,15113
2024-01-08,7,19536,16550
2024-01-08,8,21081,17970
2024-01-08,9,20964,18437
2024-01-08,10,20599,18577
2024-01-08,11,20195,18515
2024-01-08,12,19898,18450
2024-01-08,13,19919,18450
2024-01-08,14,20026,18499
2024-01-08,15,20456,18584
2024-01-08,16,20690,18701
2024-01-08,17,20914,19120
2024-01-08,18,21526,19665
2024-01-08,19,21091,19106
2024-01-08,20,20896,18775
2024-01-08,21,20764,18373
2024-01-08,22,19408,17369
2024-01-08,23,18993,16513
2024-01-08,24,18086,15340
2024-01-09,1,17615,14715
2024-01-09,2,16899,14208
2024-01-09,3,16768,14049
2024-01-09,4,16920,14051
2024-01-09,5,17271,14226
2024-01-09,6,17771,14849
2024-01-09,7,18999,16015
2024-01-09,8,20454,17510
2024-01-09,9,21250,18170
2024-01-09,10,20728,18258
2024-01-09,11,20742,18763
2024-01-09,12,21103,19315
2024-01-09,13,21366,19412
2024-01-09,14,21622,19517
2024-01-09,15,21281,19422
2024-01-09,16,20890,19131
2024-01-09,17,21034,19460
2024-01-09,18,21929,19996
2024-01-09,19,21865,19383
2024-01-09,20,21334,18966
2024-01-09,21,20723,18512
2024-01-09,22,20027,17668
2024-01-09,23,19362,16533
2024-01-09,24,18584,15447
2024-01-10,1,17844,14709
2024-01-10,2,17387,14208
2024-01-10,3,17448,13965
2024-01-10,4,17502,13892
2024-01-10,5,17836,14069
2024-01-10,6,18542,14599
2024-01-10,7,19352,15811
2024-01-10,8,20436,17254
2024-01-10,9,20838,17807
2024-01-10,10,20522,17763
2024-01-10,11,20462,17729
2024-01-10,12,20423,17967
2024-01-10,13,20290,17898
2024-01-10,14,20407,18096
2024-01-10,15,20446,18118
2024-01-10,16,20455,18233
2024-01-10,17,21336,18825
2024-01-10,18,21652,19538
2024-01-10,19,21008,19180
2024-01-10,20,20762,18887
2024-01-10,21,20368,18516
2024-01-10,22,19940,17972
2024-01-10,23,19188,16995
2024-01-10,24,18075,15934
2024-01-11,1,17378,15320
2024-01-11,2,16728,14905
2024-01-11,3,16379,14635
2024-01-11,4,16497,14641
2024-01-11,5,16632,14852
2024-01-11,6,16926,15404
2024-01-11,7,18459,16679
2024-01-11,8,20037,18278
2024-01-11,9,20213,18714
2024-01-11,10,20437,18822
2024-01-11,11,20215,18845
2024-01-11,12,20226,18948
2024-01-11,13,19914,18870
2024-01-11,14,19692,18532
2024-01-11,15,19781,18494
2024-01-11,16,19946,18567
2024-01-11,17,20665,18935
2024-01-11,18,21105,19547
2024-01-11,19,20925,19252
2024-01-11,20,20583,18983
2024-01-11,21,19879,18611
2024-01-11,22,19292,18005
2024-01-11,23,18614,16971
2024-01-11,24,17863,16166
2024-01-12,1,17108,15533
2024-01-12,2,16695,15144
2024-01-12,3,16447,14928
2024-01-12,4,16583,14916
2024-01-12,5,16904,15167
2024-01-12,6,17551,15545
2024-01-12,7,18185,16563
2024-01-12,8,19939,18045
2024-01-12,9,20221,18511
2024-01-12,10,19999,18262
2024-01-12,11,20000,18390
2024-01-12,12,20321,18516
2024-01-12,13,20028,18430
2024-01-12,14,20053,18345
2024-01-12,15,20257,18459
2024-01-12,16,20136,18552
2024-01-12,17,20717,19119
2024-01-12,18,21175,19530
2024-01-12,19,20682,19148
2024-01-12,20,20378,18953
2024-01-12,21,20546,18868
2024-01-12,22,19889,18203
2024-01-12,23,19216,16999
2024-01-12,24,18419,16003
2024-01-13,1,18248,15341
2024-01-13,2,17943,14726
2024-01-13,3,17884,14298
2024-01-13,4,17961,14311
2024-01-13,5,18029,14378
2024-01-13,6,18160,14608
2024-01-13,7,18386,15245
2024-01-13,8,18137,15700
2024-01-13,9,18030,16279
2024-01-13,10,18302,16878
2024-01-13,11,18881,17463
2024-01-13,12,19781,17910
2024-01-13,13,20554,18054
2024-01-13,14,20394,18028
2024-01-13,15,20587,17973
2024-01-13,16,20313,18078
2024-01-13,17,20786,18413
2024-01-13,18,21118,18991
2024-01-13,19,21222,18822
2024-01-13,20,20634,18254
2024-01-13,21,20129,17884
2024-01-13,22,19783,17379
2024-01-13,23,18675,16481
2024-01-13,24,18567,15697
2024-01-14,1,18198,15229
2024-01-14,2,18389,14863
2024-01-14,3,18236,14631
2024-01-14,4,18208,14475
2024-01-14,5,18510,14604
2024-01-14,6,18135,14845
2024-01-14,7,18392,15300
2024-01-14,8,18828,15844
2024-01-14,9,19516,16446
2024-01-14,10,19844,16947
2024-01-14,11,20111,17156
2024-01-14,12,20038,17303
2024-01-14,13,19761,17388
2024-01-14,14,20052,17522
2024-01-14,15,20537,17597
2024-01-14,16,21253,18039
2024-01-14,17,22008,18759
2024-01-14,18,22948,19676
2024-01-14,19,23129,19594
2024-01-14,20,22471,19122
2024-01-14,21,21918,18796
2024-01-14,22,21149,18276
2024-01-14,23,20291,17444
2024-01-14,24,19866,16678
2024-01-15,1,18851,15838
2024-01-15,2,18898,15599
2024-01-15,3,18946,15437
2024-01-15,4,18977,15609
2024-01-15,5,19115,15884
2024-01-15,6,19633,16518
2024-01-15,7,20999,17882
2024-01-15,8,23013,19438
2024-01-15,9,23702,19933
2024-01-15,10,23126,19620
2024-01-15,11,22941,19252
2024-01-15,12,21755,18883
2024-01-15,13,21474,18755
2024-01-15,14,21234,18747
2024-01-15,15,21871,18897
2024-01-15,16,22453,19288
2024-01-15,17,22246,20040
2024-01-15,18,24029,20880
2024-01-15,19,24083,20603
2024-01-15,20,23872,20174
2024-01-15,21,23799,19837
2024-01-15,22,22729,19145
2024-01-15,23,21357,18159
2024-01-15,24,20039,17236
2024-01-16,1,19991,16692
2024-01-16,2,19338,16124
2024-01-16,3,19236,15954
2024-01-16,4,19376,16028
2024-01-16,5,19203,16253
2024-01-16,6,20535,16893
2024-01-16,7,21888,18189
2024-01-16,8,23261,19611
2024-01-16,9,23507,20016
2024-01-16,10,23820,19965
2024-01-16,11,23901,20010
2024-01-16,12,23614,19864
2024-01-16,13,23015,19450
2024-01-16,14,22722,19051
2024-01-16,15,22847,18927
2024-01-16,16,23052,19010
2024-01-16,17,23703,19826
2024-01-16,18,24737,20695
2024-01-16,19,24795,20714
2024-01-16,20,24170,20372
2024-01-16,21,23727,20019
2024-01-16,22,23148,19281
2024-01-16,23,21062,18177
2024-01-16,24,19977,17248
2024-01-17,1,19519,16747
2024-01-17,2,19459,16383
2024-01-17,3,19540,16307
2024-01-17,4,19700,16371
2024-01-17,5,19847,16525
2024-01-17,6,20258,16940
2024-01-17,7,21118,18227
2024-01-17,8,22756,19674
2024-01-17,9,23246,20034
2024-01-17,10,23060,19818
2024-01-17,11,22552,19728
2024-01-17,12,22638,19550
2024-01-17,13,22397,19105
2024-01-17,14,22147,18988
2024-01-17,15,22261,18969
2024-01-17,16,22269,19078
2024-01-17,17,22694,19503
2024-01-17,18,23444,20318
2024-01-17,19,23489,20348
2024-01-17,20,23419,20144
2024-01-17,21,22989,19856
2024-01-17,22,22711,19286
2024-01-17,23,21434,18200
2024-01-17,24,19914,17106
2024-01-18,1,19644,16543
2024-01-18,2,19160,16312
2024-01-18,3,18874,16092
2024-01-18,4,19038,16032
2024-01-18,5,19469,16242
2024-01-18,6,20503,16985
2024-01-18,7,21689,18337
2024-01-18,8,22281,19617
2024-01-18,9,22330,19890
2024-01-18,10,22563,19796
2024-01-18,11,22567,19860
2024-01-18,12,22340,19584
2024-01-18,13,21938,19760
2024-01-18,14,22494,19554
2024-01-18,15,21713,19214
2024-01-18,16,22083,19301
2024-01-18,17,22329,19880
2024-01-18,18,22739,20440
2024-01-18,19,22517,20306
2024-01-18,20,22375,20122
2024-01-18,21,22070,19761
2024-01-18,22,21048,19080
2024-01-18,23,20098,17850
2024-01-18,24,19486,16959
2024-01-19,1,19114,16312
2024-01-19,2,18983,15893
2024-01-19,3,18765,15734
2024-01-19,4,18765,15751
2024-01-19,5,19189,16033
2024-01-19,6,19899,16544
2024-01-19,7,20988,17865
2024-01-19,8,22202,19325
2024-01-19,9,22032,19669
2024-01-19,10,21361,19660
2024-01-19,11,21526,19677
2024-01-19,12,21171,19701
2024-01-19,13,20586,19402
2024-01-19,14,21426,19693
2024-01-19,15,21497,19682
2024-01-19,16,22569,19457
2024-01-19,17,22926,19912
2024-01-19,18,24134,20626
2024-01-19,19,23984,20505
2024-01-19,20,23834,20399
2024-01-19,21,23730,20295
2024-01-19,22,22556,19373
2024-01-19,23,21173,18479
2024-01-19,24,20382,17700
2024-01-20,1,20075,17158
2024-01-20,2,19579,16709
2024-01-20,3,19044,16441
2024-01-20,4,18588,16411
2024-01-20,5,18774,16473
2024-01-20,6,18869,16567
2024-01-20,7,19310,16943
2024-01-20,8,20054,17704
2024-01-20,9,21101,18315
2024-01-20,10,21741,18926
2024-01-20,11,22331,19331
2024-01-20,12,22607,19555
2024-01-20,13,22710,19315
2024-01-20,14,22889,19089
2024-01-20,15,22504,19132
2024-01-20,16,22725,19362
2024-01-20,17,22577,19631
2024-01-20,18,23840,20226
2024-01-20,19,23797,20196
2024-01-20,20,23497,19780
2024-01-20,21,23287,19331
2024-01-20,22,22587,18654
2024-01-20,23,21083,17636
2024-01-20,24,20386,16996
2024-01-21,1,20299,16560
2024-01-21,2,19634,16245
2024-01-21,3,19534,16033
2024-01-21,4,19710,15957
2024-01-21,5,19652,15907
2024-01-21,6,19624,15871
2024-01-21,7,20090,16309
2024-01-21,8,20963,16980
2024-01-21,9,21323,17433
2024-01-21,10,21285,17787
2024-01-21,11,21065,17829
2024-01-21,12,20705,17558
2024-01-21,13,20829,17474
2024-01-21,14,20625,17352
2024-01-21,15,20529,17396
2024-01-21,16,20933,17902
2024-01-21,17,21569,18633
2024-01-21,18,22618,19544
2024-01-21,19,22718,19495
2024-01-21,20,22492,19032
2024-01-21,21,22239,18714
2024-01-21,22,21612,18133
2024-01-21,23,20504,17225
2024-01-21,24,19587,16338
2024-01-22,1,19010,15691
2024-01-22,2,18849,15408
2024-01-22,3,18794,15321
2024-01-22,4,18959,15358
2024-01-22,5,19089,15543
2024-01-22,6,19266,16077
2024-01-22,7,20521,17274
2024-01-22,8,22061,18662
2024-01-22,9,22256,18929
2024-01-22,10,22138,19000
2024-01-22,11,22112,19046
2024-01-22,12,22585,19490
2024-01-22,13,22235,19322
2024-01-22,14,22410,19482
2024-01-22,15,22461,19472
2024-01-22,16,22428,19472
2024-01-22,17,22805,19819
