time,lat,lon,ssp126_tg_mean_p10,ssp126_tg_mean_p50,ssp126_tg_mean_p90,ssp245_tg_mean_p10,ssp245_tg_mean_p50,ssp245_tg_mean_p90,ssp585_tg_mean_p10,ssp585_tg_mean_p50,ssp585_tg_mean_p90
1950-01-01,43.708333225,-79.375002465,-9.01,-4.81,-0.85,-9.01,-4.81,-0.85,-9.01,-4.81,-0.85
1950-02-01,43.708333225,-79.375002465,-7.07,-4.52,-1.30,-7.07,-4.52,-1.30,-7.07,-4.52,-1.30
1950-03-01,43.708333225,-79.375002465,-2.84,-0.28,2.59,-2.84,-0.28,2.59,-2.84,-0.28,2.59
1950-04-01,43.708333225,-79.375002465,3.62,6.71,9.42,3.62,6.71,9.42,3.62,6.71,9.42
1950-05-01,43.708333225,-79.375002465,11.14,12.53,14.38,11.14,12.53,14.38,11.14,12.53,14.38
1950-06-01,43.708333225,-79.375002465,16.04,17.71,19.76,16.04,17.71,19.76,16.04,17.71,19.76
1950-07-01,43.708333225,-79.375002465,19.75,20.81,22.63,19.75,20.81,22.63,19.75,20.81,22.63
1950-08-01,43.708333225,-79.375002465,18.44,20.16,21.87,18.44,20.16,21.87,18.44,20.16,21.87
1950-09-01,43.708333225,-79.375002465,14.05,16.17,18.47,14.06,16.17,18.47,14.06,16.17,18.47
1950-10-01,43.708333225,-79.375002465,8.12,9.53,10.91,8.12,9.53,10.91,8.12,9.53,10.91
1950-11-01,43.708333225,-79.375002465,1.96,3.81,6.23,1.96,3.81,6.23,1.96,3.81,6.23
1950-12-01,43.708333225,-79.375002465,-5.53,-2.47,0.93,-5.53,-2.47,0.94,-5.53,-2.47,0.93
1951-01-01,43.708333225,-79.375002465,-7.51,-4.45,-1.23,-7.51,-4.45,-1.23,-7.51,-4.45,-1.23
1951-02-01,43.708333225,-79.375002465,-7.36,-4.94,-2.02,-7.36,-4.94,-2.02,-7.36,-4.94,-2.02
1951-03-01,43.708333225,-79.375002465,-3.22,0.15,3.82,-3.22,0.15,3.82,-3.22,0.15,3.82
1951-04-01,43.708333225,-79.375002465,4.67,7.05,9.33,4.67,7.05,9.33,4.67,7.05,9.33
1951-05-01,43.708333225,-79.375002465,10.93,13.19,15.16,10.93,13.19,15.16,10.93,13.19,15.16
1951-06-01,43.708333225,-79.375002465,16.18,18.49,19.97,16.18,18.49,19.97,16.18,18.49,19.97
1951-07-01,43.708333225,-79.375002465,19.56,21.06,22.75,19.56,21.06,22.75,19.56,21.06,22.75
1951-08-01,43.708333225,-79.375002465,18.32,20.17,22.64,18.32,20.17,22.64,18.32,20.17,22.64
1951-09-01,43.708333225,-79.375002465,14.06,15.82,18.03,14.06,15.82,18.03,14.06,15.82,18.03
1951-10-01,43.708333225,-79.375002465,6.92,9.71,12.15,6.92,9.71,12.15,6.92,9.71,12.15
1951-11-01,43.708333225,-79.375002465,1.63,4.23,6.64,1.63,4.23,6.64,1.63,4.23,6.64
1951-12-01,43.708333225,-79.375002465,-5.63,-3.30,0.51,-5.63,-3.30,0.51,-5.63,-3.30,0.51
1952-01-01,43.708333225,-79.375002465,-9.61,-6.38,-2.79,-9.61,-6.38,-2.79,-9.61,-6.38,-2.79
1952-02-01,43.708333225,-79.375002465,-8.72,-4.66,-1.19,-8.72,-4.66,-1.19,-8.72,-4.66,-1.19
1952-03-01,43.708333225,-79.375002465,-3.37,-0.79,1.91,-3.37,-0.79,1.91,-3.37,-0.79,1.91
1952-04-01,43.708333225,-79.375002465,4.48,6.33,8.44,4.48,6.33,8.44,4.48,6.33,8.44
1952-05-01,43.708333225,-79.375002465,11.27,13.53,15.68,11.27,13.53,15.68,11.27,13.53,15.68
1952-06-01,43.708333225,-79.375002465,16.47,17.77,19.97,16.47,17.77,19.97,16.47,17.77,19.97
1952-07-01,43.708333225,-79.375002465,20.12,21.18,22.16,20.12,21.18,22.16,20.12,21.18,22.16
1952-08-01,43.708333225,-79.375002465,19.63,20.46,21.55,19.63,20.46,21.55,19.63,20.46,21.55
1952-09-01,43.708333225,-79.375002465,13.57,15.82,17.69,13.57,15.82,17.69,13.57,15.82,17.69
1952-10-01,43.708333225,-79.375002465,7.74,9.53,11.95,7.74,9.53,11.95,7.74,9.53,11.95
1952-11-01,43.708333225,-79.375002465,1.26,3.43,5.62,1.26,3.43,5.62,1.26,3.43,5.62
1952-12-01,43.708333225,-79.375002465,-5.90,-2.23,-0.40,-5.90,-2.23,-0.40,-5.90,-2.23,-0.40
1953-01-01,43.708333225,-79.375002465,-9.64,-6.59,-1.21,-9.64,-6.59,-1.21,-9.64,-6.59,-1.21
1953-02-01,43.708333225,-79.375002465,-7.53,-4.35,-1.49,-7.53,-4.35,-1.49,-7.53,-4.35,-1.49
1953-03-01,43.708333225,-79.375002465,-3.04,-0.50,2.13,-3.04,-0.50,2.13,-3.04,-0.50,2.13
1953-04-01,43.708333225,-79.375002465,3.72,6.45,8.40,3.72,6.45,8.40,3.72,6.45,8.40
1953-05-01,43.708333225,-79.375002465,10.23,12.27,14.02,10.23,12.27,14.02,10.23,12.27,14.02
1953-06-01,43.708333225,-79.375002465,16.16,17.95,20.19,16.16,17.95,20.19,16.16,17.95,20.19
1953-07-01,43.708333225,-79.375002465,19.68,21.16,22.14,19.68,21.16,22.14,19.68,21.16,22.14
1953-08-01,43.708333225,-79.375002465,19.05,20.27,21.11,19.05,20.27,21.11,19.05,20.27,21.11
1953-09-01,43.708333225,-79.375002465,14.76,16.14,18.04,14.76,16.14,18.04,14.76,16.14,18.04
1953-10-01,43.708333225,-79.375002465,7.33,9.36,11.09,7.33,9.36,11.09,7.33,9.36,11.09
1953-11-01,43.708333225,-79.375002465,2.78,4.20,5.60,2.78,4.20,5.60,2.78,4.20,5.60
1953-12-01,43.708333225,-79.375002465,-5.12,-2.07,0.56,-5.12,-2.07,0.56,-5.12,-2.07,0.56
1954-01-01,43.708333225,-79.375002465,-10.07,-4.76,-2.61,-10.07,-4.76,-2.61,-10.07,-4.76,-2.61
1954-02-01,43.708333225,-79.375002465,-7.86,-4.55,-1.59,-7.86,-4.55,-1.59,-7.86,-4.55,-1.59
1954-03-01,43.708333225,-79.375002465,-2.85,-0.85,2.24,-2.85,-0.85,2.24,-2.85,-0.85,2.24
1954-04-01,43.708333225,-79.375002465,4.02,6.23,8.61,4.02,6.23,8.61,4.02,6.23,8.61
